year,siteID,miss,miss45
2009,CA-NS7,TRUE,TRUE
2010,CA-NS7,TRUE,TRUE
2011,CA-NS7,TRUE,TRUE
2012,CA-NS7,TRUE,TRUE
2013,CA-NS7,TRUE,TRUE
2014,CA-NS7,TRUE,TRUE
2003,CA-Qfo,FALSE,FALSE
2004,CA-Qfo,FALSE,FALSE
2005,CA-Qfo,FALSE,FALSE
2006,CA-Qfo,FALSE,FALSE
2007,CA-Qfo,FALSE,FALSE
2008,CA-Qfo,FALSE,FALSE
2009,CA-Qfo,FALSE,FALSE
2010,CA-Qfo,FALSE,FALSE
2001,CA-Qfo,TRUE,TRUE
2002,CA-Qfo,TRUE,TRUE
2011,CA-Qfo,TRUE,TRUE
2012,CA-Qfo,TRUE,TRUE
2013,CA-Qfo,TRUE,TRUE
2014,CA-Qfo,TRUE,TRUE
2003,CA-SF1,FALSE,FALSE
2004,CA-SF1,FALSE,FALSE
2005,CA-SF1,FALSE,FALSE
2006,CA-SF1,FALSE,FALSE
2001,CA-SF1,TRUE,TRUE
2002,CA-SF1,TRUE,TRUE
2007,CA-SF1,TRUE,TRUE
2008,CA-SF1,TRUE,TRUE
2009,CA-SF1,TRUE,TRUE
2010,CA-SF1,TRUE,TRUE
2011,CA-SF1,TRUE,TRUE
2012,CA-SF1,TRUE,TRUE
2013,CA-SF1,TRUE,TRUE
2014,CA-SF1,TRUE,TRUE
2001,CA-SF2,FALSE,FALSE
2002,CA-SF2,FALSE,FALSE
2003,CA-SF2,FALSE,FALSE
2004,CA-SF2,FALSE,FALSE
2005,CA-SF2,FALSE,FALSE
2006,CA-SF2,TRUE,TRUE
2007,CA-SF2,TRUE,TRUE
2008,CA-SF2,TRUE,TRUE
2009,CA-SF2,TRUE,TRUE
2010,CA-SF2,TRUE,TRUE
2011,CA-SF2,TRUE,TRUE
2012,CA-SF2,TRUE,TRUE
2013,CA-SF2,TRUE,TRUE
2014,CA-SF2,TRUE,TRUE
2001,CA-SF3,FALSE,FALSE
2002,CA-SF3,FALSE,FALSE
2003,CA-SF3,FALSE,FALSE
2004,CA-SF3,FALSE,FALSE
2005,CA-SF3,FALSE,FALSE
2006,CA-SF3,FALSE,FALSE
2007,CA-SF3,TRUE,TRUE
2008,CA-SF3,TRUE,TRUE
2009,CA-SF3,TRUE,TRUE
2010,CA-SF3,TRUE,TRUE
2011,CA-SF3,TRUE,TRUE
2012,CA-SF3,TRUE,TRUE
2013,CA-SF3,TRUE,TRUE
2014,CA-SF3,TRUE,TRUE
2005,CH-Cha,FALSE,FALSE
2006,CH-Cha,FALSE,FALSE
2007,CH-Cha,FALSE,FALSE
2008,CH-Cha,FALSE,FALSE
2009,CH-Cha,FALSE,FALSE
2010,CH-Cha,FALSE,FALSE
2011,CH-Cha,FALSE,FALSE
2012,CH-Cha,FALSE,FALSE
2013,CH-Cha,FALSE,FALSE
2014,CH-Cha,FALSE,FALSE
2001,CH-Cha,TRUE,TRUE
2002,CH-Cha,TRUE,TRUE
2003,CH-Cha,TRUE,TRUE
2004,CH-Cha,TRUE,TRUE
2001,CH-Dav,FALSE,FALSE
2002,CH-Dav,FALSE,FALSE
2003,CH-Dav,FALSE,FALSE
2004,CH-Dav,FALSE,FALSE
2005,CH-Dav,FALSE,FALSE
2006,CH-Dav,FALSE,FALSE
2007,CH-Dav,FALSE,FALSE
2008,CH-Dav,FALSE,FALSE
2009,CH-Dav,FALSE,FALSE
2010,CH-Dav,FALSE,FALSE
2011,CH-Dav,FALSE,FALSE
2012,CH-Dav,FALSE,FALSE
2013,CH-Dav,FALSE,FALSE
2014,CH-Dav,FALSE,FALSE
2005,CH-Fru,FALSE,FALSE
2006,CH-Fru,FALSE,FALSE
2007,CH-Fru,FALSE,FALSE
2008,CH-Fru,FALSE,FALSE
2009,CH-Fru,FALSE,FALSE
2010,CH-Fru,FALSE,FALSE
2011,CH-Fru,FALSE,FALSE
2012,CH-Fru,FALSE,FALSE
2013,CH-Fru,FALSE,FALSE
2014,CH-Fru,FALSE,FALSE
2001,CH-Fru,TRUE,TRUE
2002,CH-Fru,TRUE,TRUE
2003,CH-Fru,TRUE,TRUE
2004,CH-Fru,TRUE,TRUE
2004,CH-Lae,FALSE,FALSE
2005,CH-Lae,FALSE,FALSE
2006,CH-Lae,FALSE,FALSE
2007,CH-Lae,FALSE,FALSE
2008,CH-Lae,FALSE,FALSE
2009,CH-Lae,FALSE,FALSE
2010,CH-Lae,FALSE,FALSE
2011,CH-Lae,FALSE,FALSE
2012,CH-Lae,FALSE,FALSE
2013,CH-Lae,FALSE,FALSE
2014,CH-Lae,FALSE,FALSE
2001,CH-Lae,TRUE,TRUE
2002,CH-Lae,TRUE,TRUE
2003,CH-Lae,TRUE,TRUE
2002,CH-Oe1,FALSE,FALSE
2003,CH-Oe1,FALSE,FALSE
2004,CH-Oe1,FALSE,FALSE
2005,CH-Oe1,FALSE,FALSE
2006,CH-Oe1,FALSE,FALSE
2007,CH-Oe1,FALSE,FALSE
2008,CH-Oe1,FALSE,FALSE
2001,CH-Oe1,TRUE,TRUE
2009,CH-Oe1,TRUE,TRUE
2010,CH-Oe1,TRUE,TRUE
2011,CH-Oe1,TRUE,TRUE
2012,CH-Oe1,TRUE,TRUE
2013,CH-Oe1,TRUE,TRUE
2014,CH-Oe1,TRUE,TRUE
2004,CH-Oe2,FALSE,FALSE
2005,CH-Oe2,FALSE,FALSE
2006,CH-Oe2,FALSE,FALSE
2007,CH-Oe2,FALSE,FALSE
2008,CH-Oe2,FALSE,FALSE
2009,CH-Oe2,FALSE,FALSE
2010,CH-Oe2,FALSE,FALSE
2011,CH-Oe2,FALSE,FALSE
2012,CH-Oe2,FALSE,FALSE
2013,CH-Oe2,FALSE,FALSE
2014,CH-Oe2,FALSE,FALSE
2001,CH-Oe2,TRUE,TRUE
2002,CH-Oe2,TRUE,TRUE
2003,CH-Oe2,TRUE,TRUE
2003,CN-Cha,FALSE,FALSE
2004,CN-Cha,FALSE,FALSE
2005,CN-Cha,FALSE,FALSE
2001,CN-Cha,TRUE,TRUE
2002,CN-Cha,TRUE,TRUE
2006,CN-Cha,TRUE,TRUE
2007,CN-Cha,TRUE,TRUE
2008,CN-Cha,TRUE,TRUE
2009,CN-Cha,TRUE,TRUE
2010,CN-Cha,TRUE,TRUE
2011,CN-Cha,TRUE,TRUE
2012,CN-Cha,TRUE,TRUE
2013,CN-Cha,TRUE,TRUE
2014,CN-Cha,TRUE,TRUE
2007,CN-Cng,FALSE,FALSE
2008,CN-Cng,FALSE,FALSE
2009,CN-Cng,FALSE,FALSE
2010,CN-Cng,FALSE,FALSE
2001,CN-Cng,TRUE,TRUE
2002,CN-Cng,TRUE,TRUE
2003,CN-Cng,TRUE,TRUE
2004,CN-Cng,TRUE,TRUE
2005,CN-Cng,TRUE,TRUE
