"","site","year","f_gup_1","m_gup_1","f_gup_2","m_gup_2","f_midgup_1","m_midgup_1","f_midgup_2","m_midgup_2","f_maturity_1","m_maturity_1","f_maturity_2","m_maturity_2","f_peak_1","m_peak_1","f_peak_2","m_peak_2","f_sene_1","m_sene_1","f_sene_2","m_sene_2","f_midgdown_1","m_midgdown_1","f_midgdown_2","m_midgdown_2","f_dormancy_1","m_dormancy_1","f_dormancy_2","m_dormancy_2","f_gppmin_1","m_EVImin_1","f_gppmin_2","m_EVImin_2","f_gppamp_1","m_EVIamp_1","f_gppamp_2","m_EVIamp_2","f_gpparea_1","m_EVIarea_1","f_gpparea_2","m_EVIarea_2","IGBP","miss","miss45"
"312","DK-Sor","2004",12511,12515,NA,NA,12532,12539,NA,NA,12556,12561,NA,NA,12574,12579,NA,NA,12635,12601,NA,NA,12680,12696,NA,NA,12709,12735,NA,NA,0,0.2051,NA,NA,13,0.4518,NA,NA,577.6,21.8,NA,NA,"DBF",FALSE,FALSE
"313","DK-Sor","2005",12888,12876,NA,NA,12915,12905,NA,NA,12938,12931,NA,NA,12954,12953,NA,NA,12971,12975,NA,NA,13034,13065,NA,NA,13078,13102,NA,NA,0,0.1879,NA,NA,15,0.479,NA,NA,662.7,27.5,NA,NA,"DBF",FALSE,FALSE
"314","DK-Sor","2006",13258,13253,NA,NA,13281,13274,NA,NA,13306,13300,NA,NA,13322,13317,NA,NA,13342,13335,NA,NA,13402,13428,NA,NA,13444,13476,NA,NA,0,0.2136,NA,NA,15,0.4169,NA,NA,663.8,18.5,NA,NA,"DBF",FALSE,FALSE
"315","DK-Sor","2007",13607,13616,NA,NA,13634,13635,NA,NA,13658,13657,NA,NA,13674,13673,NA,NA,13697,13693,NA,NA,13768,13790,NA,NA,13807,13821,NA,NA,0,0.2572,NA,NA,15,0.392,NA,NA,657.5,15.5,NA,NA,"DBF",FALSE,FALSE
"316","DK-Sor","2008",13981,13951,NA,NA,14005,13997,NA,NA,14027,14020,NA,NA,14042,14040,NA,NA,14062,14067,NA,NA,14131,14159,NA,NA,14170,14197,NA,NA,0,0.2022,NA,NA,16,0.4497,NA,NA,668.4,25.5,NA,NA,"DBF",FALSE,FALSE
"317","DK-Sor","2009",14339,14344,NA,NA,14365,14362,NA,NA,14395,14384,NA,NA,14418,14413,NA,NA,14438,14441,NA,NA,14493,14532,NA,NA,14530,14565,NA,NA,0,0.2527,NA,NA,15,0.3351,NA,NA,818.9,18.9,NA,NA,"DBF",FALSE,FALSE
"318","DK-Sor","2010",14717,14653,NA,NA,14749,14735,NA,NA,14775,14760,NA,NA,14791,14780,NA,NA,14808,14807,NA,NA,14848,14899,NA,NA,14899,14931,NA,NA,0,0.1849,NA,NA,17,0.4547,NA,NA,784.2,26.8,NA,NA,"DBF",FALSE,FALSE
"319","DK-Sor","2011",15072,14986,NA,NA,15093,15085,NA,NA,15116,15112,NA,NA,15132,15133,NA,NA,15150,15157,NA,NA,15222,15205,NA,NA,15267,15281,NA,NA,0,0.1634,NA,NA,16,0.4617,NA,NA,658,31.2,NA,NA,"DBF",FALSE,FALSE
"320","DK-Sor","2012",15440,15441,NA,NA,15466,15462,NA,NA,15490,15483,NA,NA,15515,15499,NA,NA,15544,15523,NA,NA,15591,15643,NA,NA,15631,15669,NA,NA,0,0.2653,NA,NA,15,0.3946,NA,NA,825.7,15.4,NA,NA,"DBF",FALSE,FALSE
"321","DK-Sor","2013",15815,15733,NA,NA,15836,15828,NA,NA,15860,15850,NA,NA,15880,15866,NA,NA,15902,15891,NA,NA,15945,15994,NA,NA,15997,16030,NA,NA,0,0.1347,NA,NA,16,0.5481,NA,NA,756.2,32,NA,NA,"DBF",FALSE,FALSE
